Exchange ID,ticker,Name,Market Cap,Country,IPO Year,Sector,Industry
1,ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,386220313,,2021,Health Care,Biotechnology: Pharmaceutical Preparations
1,ANET,Arista Networks Inc. Common Stock,40158891070,,2014,Technology,Computer peripheral equipment
1,ANF,Abercrombie & Fitch Company Common Stock,2004391722,United States,,Consumer Services,Clothing/Shoe/Accessory Stores
1,ANTM,Anthem Inc. Common Stock,1.0461E+11,United States,,Health Care,Medical Specialities
1,ANVS,Annovis Bio Inc. Common Stock,170435993,United States,2020,Consumer Durables,Specialty Chemicals
1,AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,1076450500,United States,2007,Finance,Investment Managers
1,AOMR,Angel Oak Mortgage Inc. Common Stock,424818143,,2021,Consumer Services,Real Estate Investment Trusts
1,AON,Aon plc Class A Ordinary Shares (Ireland),64720440938,United States,,Finance,Specialty Insurers
1,AOS,A.O. Smith Corporation Common Stock,13310726590,United States,,Capital Goods,Industrial Machinery/Components
1,AP,Ampco-Pittsburgh Corporation Common Stock,96614537,United States,,Capital Goods,Metal Fabrications
1,APAM,Artisan Partners Asset Management Inc. Class A Common Stock,3527539089,United States,2013,Finance,Investment Managers
1,APD,Air Products and Chemicals Inc. Common Stock,65408323824,United States,,Basic Industries,Specialty Chemicals
1,APG,APi Group Corporation Common Stock,5357310853,,2020,Consumer Services,Military/Government/Technical
1,APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,843525000,,2021,Finance,Business Services
1,APH,Amphenol Corporation Common Stock,50395801189,United States,,Capital Goods,Electrical Products
1,APLE,Apple Hospitality REIT Inc. Common Shares,3573743449,United States,2015,Consumer Services,Real Estate Investment Trusts
1,APO,Apollo Global Management Inc. Class A Common Stock,17174260921,United States,2011,Finance,Investment Managers
1,APO^A,Apollo Global Management Inc. 6.375% Series A Preferred Shares,,United States,,,
1,APO^B,Apollo Global Management Inc 6.375% Series B Preferred Shares,,United States,,,
1,APRN,Blue Apron Holdings Inc. Class A Common Stock,295334058,United States,2017,Consumer Services,Catalog/Specialty Distribution
1,APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,1007739338,United States,2020,Finance,Business Services
1,APTS,Preferred Apartment Communities Inc. Common Stock,741246142,United States,2011,Consumer Services,Real Estate Investment Trusts
1,APTV,Aptiv PLC Ordinary Shares,45708774236,United Kingdom,2011,Capital Goods,Auto Parts:O.E.M.
1,APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,,United Kingdom,,,
1,AQN,Algonquin Power & Utilities Corp. Common Shares,9325892745,,2016,Public Utilities,Electric Utilities: Central
1,AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,0,,2018,Public Utilities,Electric Utilities: Central
1,AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,0,,2019,Public Utilities,Electric Utilities: Central
1,AQNU,Algonquin Power & Utilities Corp. Corporate Units,0,,2021,Public Utilities,Electric Utilities: Central
1,AQUA,Evoqua Water Technologies Corp. Common Stock,5578367249,United States,2017,Capital Goods,Office Equipment/Supplies/Services
1,AR,Antero Resources Corporation Common Stock,5465521161,,2013,Energy,Oil & Gas Production
1,ARC,ARC Document Solutions Inc. Common Stock,136274074,United States,2004,Miscellaneous,Business Services
1,ARCH,Arch Resources Inc. Class A Common Stock,1299874776,United States,2016,Energy,Coal Mining
1,ARCO,Arcos Dorados Holdings Inc. Class A Shares,1153421205,Argentina,2011,Consumer Services,Restaurants
